NAME,OUTLET TYPE,PHONE NUMBER,STREET ADDRESS,PAYMENTS ACCEPTED,FARE MEDIA AVAILABLE,LAT,LON,CITY,Location
CVS Store 1045,Ventra Retail Location,,1015 W. Orchard Rd.,Varies,Varies,41.8178096,-88.3492028,North Aurora,"1015 Orchard Rd
North Aurora 60542
(41.80709232400045, -88.37222701299964)"
CVS Store 1054,Ventra Retail Location,,101 N. Clinton St.,Varies,Varies,41.8834385,-87.641196,Chicago,"101 Clinton St
Chicago 60661
(41.88327168300049, -87.64116232399965)"
CVS Store 1161,Ventra Retail Location,,2360 W. Indian Trail,Varies,Varies,41.780746,-88.3739481,Aurora,"2360 Indian Trail
Aurora 60506
(41.78053067100046, -88.38546798399966)"
CVS Store 1170,Ventra Retail Location,,3200 Caton Farm,Varies,Varies,41.565117,-88.162531,Joliet,"3200 Caton
Joliet 60431
(41.527863005000484, -88.17967622199967)"
CVS Store 1172,Ventra Retail Location,,2020 E Grand Ave.,Varies,Varies,42.410532,-88.033007,Lindenhurst,"2020 Grand Ave
Lindenhurst 60046
(42.41028707100048, -88.03354292399968)"
CVS Store 141,Ventra Retail Location,,936 Willow Rd.,Varies,Varies,42.1082406,-87.8026681,Northbrook,"936 Willow Rd
Northbrook 60062
(42.10545217200047, -87.80285313099967)"
CVS Store 1493,Ventra Retail Location,,5205 N. Broadway St.,Varies,Varies,41.9764764,-87.6598112,Chicago,"5205 Broadway St
Chicago 60640
(41.976671113000464, -87.65982205599965)"
CVS Store 1676,Ventra Retail Location,,6355 West Belmont ,Varies,Varies,41.9383136,-87.7852439,Chicago,"6355 Belmont
Chicago 60634
(41.937580100000446, -87.83604740099969)"
CVS Store 1768,Ventra Retail Location,,3400 Lincoln Hwy,Varies,Varies,41.506292,-87.6998209,Olympia Fields,"3400 Lincoln Hwy
Olympia Fields 60634
(41.506159563000494, -87.69977663199967)"
CVS Store 1773,Ventra Retail Location,,9551 W. 171st St. Tinley Park IL 60487,Varies,Varies,41.5795035,-87.8470244,Tinley Park,"9551 171st St Tinley Park
Tinley Park 60487
(41.57949044100047, -87.85078693799966)"
CVS Store 1965,Ventra Retail Location,,7200 W. Cermak Rd.,Varies,Varies,41.8506842,-87.8043374,North Riverside,"7200 Cermak Rd
North Riverside 60546
(41.850405741000486, -87.80382792399968)"
CVS Store 2664,Ventra Retail Location,,11 E 14th St.,Varies,Varies,41.5062873,-87.6406781,Chicago Heights,"11 14th St
Chicago Heights 60411
(41.50613298900049, -87.64142782999966)"
CVS Store 2786,Ventra Retail Location,,255 N. Mclean Blvd.,Varies,Varies,41.9967679,-88.315368,South Elgin,"255 Mclean Blvd
South Elgin 60177
(41.99757793200047, -88.31598116699968)"
CVS Store 2788,Ventra Retail Location,,20 E. Dundee Rd.,Varies,Varies,42.142749,-87.9512759,Buffalo Grove,"20 Dundee Rd
Buffalo Grove 60089
(42.1389438060005, -87.95910222499964)"
CVS Store 2790,Ventra Retail Location,,3201 West 95th St.,Varies,Varies,41.720178,-87.702359,Evergreen Park,"3201 95th St
Evergreen Park 60805
(41.72071561400048, -87.70196024199964)"
CVS Store 2791,Ventra Retail Location,,1005 E. Roosevelt Rd,Varies,Varies,41.8601565,-87.9920139,Lombard,"1005 Roosevelt Rd
Lombard 60148
(41.8605577080005, -87.9924994329997)"
CVS Store 2797,Ventra Retail Location,,9640 Milwaukee Ave.,Varies,Varies,42.055436,-87.839708,Niles,"9640 Milwaukee Ave
Niles 60714
(42.055495291000454, -87.83906160399965)"
CVS Store 2798,Ventra Retail Location,,3951 W. 103rd St.,Varies,Varies,41.705606,-87.720264,Chicago,"3951 103rd St
Chicago 60655
(41.705883988000494, -87.71974666099965)"
CVS Store 2809,Ventra Retail Location,,2815 N Western Ave,Varies,Varies,41.9327449,-87.6875826,Chicago,"2815 Western Ave
Chicago 60618
(41.93257733900049, -87.68788718299965)"
CVS Store 2810,Ventra Retail Location,,175 W Jackson Ave,Varies,Varies,41.8778959,-87.6333337,Chicago,"175 Jackson Ave
Chicago 60604
(41.479163515000494, -87.63509905999967)"
CVS Store 2827,Ventra Retail Location,,600 North Mannheim Rd.,Varies,Varies,41.881983,-87.8838959,Hillside,"600 Mannheim Rd
Hillside 60162
(41.881681020000485, -87.88327510699969)"
CVS Store 2844,Ventra Retail Location,,6748 Roosevelt Rd.,Varies,Varies,41.865447,-87.793592,Oak Park,"6748 Roosevelt Rd
Oak Park 60304
(41.86519801000048, -87.79349076299968)"
CVS Store 2845,Ventra Retail Location,,1930 W. 103rd St.,Varies,Varies,41.7067877,-87.670215,Chicago,"1930 103rd St
Chicago 60643
(41.70660246200049, -87.67035764599967)"
CVS Store 2846,Ventra Retail Location,,8639 S. Cicero Ave.,Varies,Varies,41.735189,-87.740458,Chicago,"8639 Cicero Ave
Chicago 60652
(41.73519079900046, -87.74099042899968)"
CVS Store 2860,Ventra Retail Location,,110 W. North Ave.,Varies,Varies,41.9062192,-87.9403897,Elmhurst,"110 North Ave
Elmhurst 60126
(41.90619666600048, -87.94038741699967)"
CVS Store 2863,Ventra Retail Location,,2045 Plum Grove Rd.,Varies,Varies,42.088031,-88.044546,Rolling Meadows,"2045 Plum Grove Rd
Rolling Meadows 60008
(42.0881630180005, -88.04385064499968)"
CVS Store 2900,Ventra Retail Location,,34344 N. Hwy 45,Varies,Varies,42.361164,-88.001773,Village Of Third Lake,"34344 N Hwy
Village Of Third Lake 60030
(42.34656197600049, -88.02729687899966)"
CVS Store 2901,Ventra Retail Location,,3001 Washington St.,Varies,Varies,42.35908,-87.87484,Waukegan,"3001 Washington St
Waukegan 60085
(42.35947895300046, -87.87509074699966)"
CVS Store 2902,Ventra Retail Location,,520 N. Western Ave.,Varies,Varies,42.2492051,-87.8390941,Lake Forest,"520 Western Ave
Lake Forest 60045
(42.24863227700047, -87.83894852499964)"
CVS Store 2903,Ventra Retail Location,,400 Ogden Ave.,Varies,Varies,41.809929,-87.9958866,Downers Grove,"400 Ogden Ave
Downers Grove 60515
(41.80957428000045, -87.99537961599964)"
CVS Store 2934,Ventra Retail Location,,208 W. Washington St.,Varies,Varies,41.883555,-87.634203,Chicago,"208 Washington St
Chicago 60606
(41.88326023600047, -87.63420035499968)"
CVS Store 2935,Ventra Retail Location,,8712 South Stony Island Ave.,Varies,Varies,41.7364864,-87.5858127,Chicago,"8712 Stony Island Ave
Chicago 60617
(41.73660960300049, -87.58566784599964)"
CVS Store 2936,Ventra Retail Location,,809 Plainfield Rd. ,Varies,Varies,41.538747,-88.102222,Joliet,"809 Plainfield Rd
Joliet 60435
(41.53829617100047, -88.10206621899965)"
CVS Store 2942,Ventra Retail Location,,401 W. Armitage Ave.,Varies,Varies,41.918132,-87.6391558,Chicago,"401 Armitage Ave
Chicago 60614
(41.91830114300046, -87.63915055999968)"
CVS Store 2981,Ventra Retail Location,,1201 N. State St.,Varies,Varies,41.9037142,-87.6285539,Chicago,"1201 State St
Chicago 60610
(41.90406008600047, -87.62870051199968)"
CVS Store 3110,Ventra Retail Location,,1002 S. Busse Rd.,Varies,Varies,42.0480796,-87.960259,Mount Prospect,"1002 Busse Rd
Mount Prospect 60056
(42.048094379000474, -87.96028128699965)"
CVS Store 3163,Ventra Retail Location,,345 Madison St.,Varies,Varies,41.879618,-87.784232,Oak Park,"345 Madison St
Oak Park 60302
(41.87990960600047, -87.78364992599967)"
CVS Store 3170,Ventra Retail Location,,6417 W. Higgins Ave.,Varies,Varies,41.9764957,-87.7885177,Chicago,"6417 Higgins Ave
Chicago 60656
(41.976463597000475, -87.78850113099969)"
CVS Store 3256,Ventra Retail Location,,12720 Archer Rd.,Varies,Varies,41.65658,-87.974453,Lemont,"12720 Archer Rd
Lemont 60439
(41.656547041000465, -87.9736433389997)"
CVS Store 3603,Ventra Retail Location,,16701 S. Harlem Ave.,Varies,Varies,41.5875773,-87.7935245,Tinley Park,"16701 Harlem Ave
Tinley Park 60477
(41.58713058000046, -87.79356100799964)"
CVS Store 3665 ,Ventra Retail Location,,1299 East Ogden Ave.,Varies,Varies,41.7959198,-88.122608,Naperville,"1299 Ogden Ave
Naperville 60563
(41.78070836000046, -88.17940764999969)"
CVS Store 3674,Ventra Retail Location,,105 S. Wabash Ave.,Varies,Varies,41.8806489,-87.6261243,Chicago,"105 Wabash Ave
Chicago 60603
(41.8806480930005, -87.62609453399966)"
CVS Store 3690,Ventra Retail Location,,1714 N. Sheffield Ave.,Varies,Varies,41.9109509,-87.6532957,Chicago,"1714 Sheffield Ave
Chicago 60614
(41.91251092400046, -87.65316000899969)"
CVS Store 3742,Ventra Retail Location,,121 W. Kinzie St.,Varies,Varies,41.8890714,-87.6317748,Chicago,"121 Kinzie St
Chicago 60610
(41.88898263700048, -87.63694571099967)"
CVS Store 3790,Ventra Retail Location,,1305 Randall Rd.,Varies,Varies,42.2049639,-88.335745,Crystal Lake,"1305 Randall Rd
Crystal Lake 60014
(42.20457417500046, -88.33649318299967)"
CVS Store 3872,Ventra Retail Location,,39161 Sheridan Rd,Varies,Varies,42.430427,-87.824958,Beach Park ,"39161 Sheridan Rd
Beach Park 60099
(42.429971511000474, -87.82566718899966)"
CVS Store 3889,Ventra Retail Location,,7929 North Ave.,Varies,Varies,41.908278,-87.823193,River Forest,"7929 North Ave
River Forest 60305
(41.90851404500046, -87.82313542199967)"
CVS Store 3901,Ventra Retail Location,,1711 Sherman Avenue,Varies,Varies,42.0489729,-87.681409,Evanston,"1711 Sherman Avenue
Evanston 60201
(42.04872442700048, -87.68180091899967)"
CVS Store 4061,Ventra Retail Location,,520 S State Street,Varies,Varies,41.8752649,-87.6279847,Chicago,"520 State Street
Chicago 60605
(41.875220654000486, -87.62765785999966)"
CVS Store 4094,Ventra Retail Location,,3146 West Madison,Varies,Varies,41.8809959,-87.7050897,Chicago,"3146 Madison
Chicago 60612
(41.88001266600048, -87.68631822699967)"
CVS Store 4189,Ventra Retail Location,,2828 North Clark St,Varies,Varies,41.933588,-87.646419,Chicago,"2828 Clark St
Chicago 60657
(41.93354467500046, -87.64553926899964)"
CVS Store 4262,Ventra Retail Location,,2211 S Eola Road,Varies,Varies,41.714543,-88.255195,Chicago,"2211 Eola Road
Chicago 60503
(41.714703744000474, -88.25458381999965)"
CVS Store 4269,Ventra Retail Location,,765 E. State St. ,Varies,Varies,41.8875177,-88.2894767,Geneva,"765 State St
Geneva 60134
(41.88870696700047, -88.31366902299965)"
CVS Store 4396,Ventra Retail Location,,2648 Dempster Street,Varies,Varies,42.0399149,-87.8579128,Park Ridge,"2648 Dempster Street
Park Ridge 60068
(42.03943021900045, -87.85785029799968)"
CVS Store 4487,Ventra Retail Location,,8625 S. Harlem Ave.,Varies,Varies,41.7349058,-87.7991364,Bridgeview,"8625 Harlem Ave
Bridgeview 60455
(41.734828467000455, -87.79912496499969)"
CVS Store 4581,Ventra Retail Location,,7139 N Milwaukee Ave,Varies,Varies,42.011543,-87.800417,Niles,"7139 Milwaukee Ave
Niles 60714
(42.0108709000005, -87.80030070699968)"
CVS Store 4688,Ventra Retail Location,773-233-3942,745 W. 103rd Street,Varies,Varies,41.706655,-87.642376,Chicago,"745 103rd Street
Chicago 60628
(41.70690860200045, -87.64191718299969)"
CVS Store 4778,Ventra Retail Location,,101 Asbury Ave.,Varies,Varies,42.019765,-87.689596,Evanston,"101 Asbury Ave
Evanston 60202
(42.01987022500049, -87.69016094799969)"
CVS Store 4781,Ventra Retail Location,,205 N. Michigan Ave.,Varies,Varies,41.8859774,-87.6239724,Chicago,"205 Michigan Ave
Chicago 60601
(41.88589352700046, -87.62448563299967)"
CVS Store 4787,Ventra Retail Location,,1539 Clavey Rd.,Varies,Varies,42.160202,-87.807796,Highland Park,"1539 Clavey Rd
Highland Park 60035
(42.15983911800049, -87.80765111599965)"
CVS Store 4793,Ventra Retail Location,,1211 W. Roosevelt Rd.,Varies,Varies,41.8668191,-87.6572185,Chicago,"1211 Roosevelt Rd
Chicago 60608
(41.86694046100047, -87.65719069299968)"
CVS Store 4977,Ventra Retail Location,,1211 W. Roosevelt Rd.,Varies,Varies,41.8668191,-87.6572185,Chicago,"1211 Roosevelt Rd
Chicago 60608
(41.86694046100047, -87.65719069299968)"
CVS Store 4978,Ventra Retail Location,,14701 S. Pulaski Rd.,Varies,Varies,41.6254397,-87.7165563,Midlothian,"14701 Pulaski Rd
Midlothian 60445
(41.62518009600046, -87.71768090899968)"
CVS Store 4979,Ventra Retail Location,,7855 S. Western Ave.,Varies,Varies,41.750407,-87.682332,Chicago,"7855 Western Ave
Chicago 60620
(41.750702840000486, -87.68282878599967)"
CVS Store 4995,Ventra Retail Location,,700 W. Irving Park Road,Varies,Varies,41.9604761,-87.9497229,Bensenville,"700 Irving Park Road
Bensenville 60106
(41.96093098200049, -87.94915023999965)"
CVS Store 5001,Ventra Retail Location,,3033 N. Broadway St.,Varies,Varies,41.9375928,-87.6441444,Chicago,"3033 Broadway St
Chicago 60657
(41.9374002240005, -87.64429089199967)"
CVS Store 520,Ventra Retail Location,,7179 N. Lincoln Ave.,Varies,Varies,41.714543,-88.255195,Lincolnwood,"7179 Lincoln Ave
Lincolnwood 60712
(42.01091443200045, -87.73813797999969)"
CVS Store 5213,Ventra Retail Location,,8911 Ogden Ave.,Varies,Varies,41.81633,-87.844591,Brookfield,"8911 Ogden Ave
Brookfield 60513
(41.81660494300047, -87.84455566199966)"
CVS Store 5394,Ventra Retail Location,,"1200 N. Ashland, Unit C-1",Varies,Varies,41.9036843,-87.6678822,Chicago,"1200 Ashland
Chicago 60622
(41.90223302400045, -87.68066971999968)"
CVS Store 5421,Ventra Retail Location,,2375 Drauden Rd,Varies,Varies,41.5636938,-88.2292248,Joliet,"2375 Drauden Rd
Joliet 60434
(41.563799851000454, -88.22932661099969)"
CVS Store 5449,Ventra Retail Location,,11840 S. State Rte 59,Varies,Varies,41.6665752,-88.204154,Plainfield,"11840 State Rte
Plainfield 60585
(41.65613191300048, -88.22414735399968)"
CVS Store 5481,Ventra Retail Location,,100 W. Higgins Rd.,Varies,Varies,42.0749568,-88.1879532,South Barrington,"100 Higgins Rd
South Barrington 60010
(42.07191762800045, -88.18005241899965)"
CVS Store 5482,Ventra Retail Location,,3615 N. Central Ave,Varies,Varies,41.946804,-87.76643,Chicago,"3615 Central Ave
Chicago 60634
(41.94638140900048, -87.76673614499964)"
CVS Store 5619,Ventra Retail Location,,25 Northwest Hwy.,Varies,Varies,42.208388,-88.233071,Cary,"25 Northwest Hwy
Cary 60013
(42.208158927000454, -88.23321089099966)"
CVS Store 5681,Ventra Retail Location,,3311 N. Pulaski Rd.,Varies,Varies,41.9413683,-87.7272324,Chicago,"3311 Pulaski Rd
Chicago 60641
(41.9413702490005, -87.72718739899966)"
CVS Store 5688,Ventra Retail Location,,1099 W. Army Trail Rd.,Varies,Varies,41.9463657,-88.2066466,Bartlett,"1099 Army Trail Rd
Bartlett 60103
(41.94672578300049, -88.20794707699969)"
CVS Store 5768,Ventra Retail Location,,130 S. Canal St.,Varies,Varies,41.87964,-87.640368,Chicago,"130 Canal St
Chicago 60606
(41.8794703800005, -87.63960110199969)"
CVS Store 5769,Ventra Retail Location,,470 S. Torrence Ave.,Varies,Varies,41.623134,-87.559511,Calumet City,"470 Torrence Ave
Calumet City 60409
(41.623180886000455, -87.55915105199966)"
CVS Store 5770,Ventra Retail Location,,4777 N. Milwaukee Ave.,Varies,Varies,41.967579,-87.760043,Chicago,"4777 Milwaukee Ave
Chicago 60630
(41.96746096600049, -87.76039025499966)"
CVS Store 5774,Ventra Retail Location,,1101 W. Maple,Varies,Varies,42.2752188,-88.0188705,Mundelein,"1101 Maple
Mundelein 60060
(42.25550068400048, -88.04111859999966)"
CVS Store 5795,Ventra Retail Location,,3411 W. Addison St.,Varies,Varies,41.9462016,-87.7133265,Chicago,"3411 Addison St
Chicago 60618
(41.94655009900049, -87.71304858499968)"
CVS Store 5797,Ventra Retail Location,,26w212 Geneva Road ,Varies,Varies,41.888273,-88.136724,Carol Stream,
CVS Store 5819,Ventra Retail Location,,11859 Southwest Hwy.,Varies,Varies,41.675332,-87.815231,Palos Heights,"11859 Southwest Hwy
Palos Heights 60463
(41.67594044000049, -87.81515016999964)"
CVS Store 5822,Ventra Retail Location,,11200 Lincoln Hwy,Varies,Varies,41.504086,-87.889711,Mokena,"11200 Lincoln Hwy
Mokena 60448
(41.503520971000455, -87.88979041299967)"
CVS Store 5829,Ventra Retail Location,,500 Dundee Ave. ,Varies,Varies,42.046707,-88.276151,Elgin,"500 Dundee Ave
Elgin 60120
(42.04641074500046, -88.27596056699969)"
CVS Store 5836,Ventra Retail Location,,1228 E. 53rd St.,Varies,Varies,41.7994631,-87.5961051,Chicago ,"1228 53rd St
Chicago 60615
(41.7994923600005, -87.59611913299966)"
CVS Store 5913,Ventra Retail Location,,200 W. Northwest Hwy.,Varies,Varies,42.123056,-88.049206,Palatine,"200 Northwest Hwy
Palatine 60067
(42.11992981800046, -88.03877015399968)"
CVS Store 5960,Ventra Retail Location,,2000 Skokie Valley Rd.,Varies,Varies,42.190751,-87.827784,Highland Park,"2000 Skokie Valley Rd
Highland Park 60035
(42.189001557000495, -87.82577548399968)"
CVS Store 5978,Ventra Retail Location,,3434 Dempster St.,Varies,Varies,42.0409255,-87.7141814,Skokie,"3434 Dempster St
Skokie 60076
(42.04091765200047, -87.71466606099966)"
CVS Store 5987,Ventra Retail Location,,4800 North Damen,Varies,Varies,41.969254,-87.679564,Chicago,"4800 Damen
Chicago 60625
(41.971301231000496, -87.70129980599967)"
CVS Store 5989,Ventra Retail Location,,1620 West 59th St.,Varies,Varies,41.786875,-87.6653235,Chicago,"1620 59th St
Chicago 60636
(41.78675743500048, -87.66543209699967)"
CVS Store 6497,Ventra Retail Location,,350 E. North Ave. ,Varies,Varies,41.9074859,-88.00839,Lombard,"350 North Ave
Lombard 60148
(41.90500034700045, -88.00874052299969)"
CVS Store 6701,Ventra Retail Location,,101 Bartlett Plaza,Varies,Varies,41.9883569,-88.1843029,Bartlett,"101 Bartlett Plaza
Bartlett 60103
(41.98830722300045, -88.18320606399965)"
CVS Store 6748,Ventra Retail Location,,6210 Main St.,Varies,Varies,41.7746513,-88.0086348,Downers Grove,"6210 Main St
Downers Grove 60516
(41.77453563400047, -88.00866138099968)"
CVS Store 6785,Ventra Retail Location,,3343 W. Montrose Ave.,Varies,Varies,41.960884,-87.712953,Chicago,"3343 Montrose Ave
Chicago 60618
(41.96113198000046, -87.71224053699967)"
CVS Store 6789,Ventra Retail Location,,8645 Woodward Ave.  ,Varies,Varies,41.9091669,-87.736783,Woodridge,"8645 Woodward Ave
Woodridge 60517
(41.728731118000496, -88.02874114299965)"
CVS Store 70,Ventra Retail Location,,3200 Flossmoor Rd.  ,Varies,Varies,41.5425383,-87.6940589,Flossmoor,"3200 Flossmoor Rd
Flossmoor 60422
(41.54250720200048, -87.69405961099966)"
CVS Store 702,Ventra Retail Location,,4580 Rt 173,Varies,Varies,42.465556,-87.880975,Zion,"4580 Rt
Zion 60099
(42.44980365200047, -87.84712688099967)"
CVS Store 7123,Ventra Retail Location,,1550 N. Kostner Ave.  ,Varies,Varies,41.9091669,-87.736783,Chicago,"1550 Kostner Ave
Chicago 60651
(41.90879179500047, -87.73631765799968)"
CVS Store 7125,Ventra Retail Location,,5360 S. Western Ave.  ,Varies,Varies,41.7952277,-87.6839998,Chicago,"5360 Western Ave
Chicago 60609
(41.796126855000466, -87.68414186099966)"
CVS Store 7134,Ventra Retail Location,,1400 E. Roosevelt Rd. ,Varies,Varies,41.858602,-88.086451,Wheaton,"1400 Roosevelt Rd
Wheaton 60187
(41.85908074300045, -88.08652073599967)"
CVS Store 7142,Ventra Retail Location,,16760 W. Division St.,Varies,Varies,41.5833637,-88.0247703,Lockport,"16760 Division St
Lockport 60441
(41.583399400000474, -88.02487693199964)"
CVS Store 7143,Ventra Retail Location,,1855 W. Irving Park Rd. ,Varies,Varies,42.002346,-88.126673,Schaumburg,"1855 Irving Park Rd
Schaumburg 60193
(42.002119405000485, -88.12559721599968)"
CVS Store 7166,Ventra Retail Location,,250 W. 144th St.,Varies,Varies,41.6334402,-87.6285755,Riverdale,"250 144th St
Riverdale 60827
(41.633427060000486, -87.62824019799967)"
CVS Store 7168,Ventra Retail Location,,1725 West Boughton Rd.,Varies,Varies,41.696284,-88.145442,Bolingbrook,"1725 Boughton Rd
Bolingbrook 60490
(41.69979593900047, -88.13712045499966)"
CVS Store 7170,Ventra Retail Location,,1229 W. IL Route 134,Varies,Varies,42.36305,-88.112446,Round Lake,"1229 IL Route
Round Lake 60073
(42.36437215400048, -88.09747740799969)"
CVS Store 7181,Ventra Retail Location,,101 S. Northwest Hwy.,Varies,Varies,42.153488,-88.1281284,Barrington,"101 Northwest Hwy
Barrington 60010
(42.16154910500046, -88.13682016599967)"
CVS Store 7199,Ventra Retail Location,,1910 Montgomery Rd.,Varies,Varies,41.7354805,-88.2714225,Aurora,"1910 Montgomery Rd
Aurora 60504
(41.73527679400047, -88.27182524499966)"
CVS Store 7208,Ventra Retail Location,,230 East Avenue North  ,Varies,Varies,41.90341,-88.080602,Glendale Heights,"230 East Avenue
Glendale Heights 60139
(41.9177533830005, -88.07652579199964)"
CVS Store 7255,Ventra Retail Location,,680 Sutton Rd. ,Varies,Varies,42.0195924,-88.2035518,Streamwood,"680 Sutton Rd
Streamwood 60107
(42.019918489000474, -88.20307488499964)"
CVS Store 7327,Ventra Retail Location,,600-618 E. Sibley Blvd.,Varies,Varies,41.6228539,-87.606458,Dolton,"600 618 E Sibley Blvd
Dolton 60419
(41.6225898510005, -87.60635820199968)"
CVS Store 7760,Ventra Retail Location,,19900 La Grange Rd.,Varies,Varies,41.5296378,-87.8502667,Mokena,"19900 La Grange Rd
Mokena 60448
(41.5283942420005, -87.85012977199966)"
CVS Store 7761,Ventra Retail Location,,10420 Grand Ave.,Varies,Varies,41.9307,-87.885831,Franklin Park,"10420 Grand Ave
Franklin Park 60131
(41.930326909000485, -87.88507029899966)"
CVS Store 7788,Ventra Retail Location,,2075 S. Lake St.,Varies,Varies,42.237241,-87.994953,Mundelein,"2075 Lake St
Mundelein 60060
(42.23698530600046, -87.99412560399969)"
CVS Store 7970,Ventra Retail Location,,4511 Algonquin Rd.  ,Varies,Varies,42.176285,-88.382847,Lake In The Hills,"4511 Algonquin Rd
Lake In The Hills 60156
(42.17579955400049, -88.38348716699966)"
CVS Store 8289,Ventra Retail Location,,120 South Lasalle St.,Varies,Varies,41.8798692,-87.632774,Chicago,"120 Lasalle St
Chicago 60603
(41.88031039300046, -87.63237053099965)"
CVS Store 833,Ventra Retail Location,,644 North Route 59,Varies,Varies,41.781809,-88.20488,Naperville,"644 North Route
Naperville 60563
(41.79170042900046, -88.16800988199964)"
CVS Store 834,Ventra Retail Location,,8811 W. 87th St.,Varies,Varies,41.7326896,-87.839158,Hickory Hills,"8811 87th St
Hickory Hills 60457
(41.732739274000494, -87.83827853699967)"
CVS Store 8500,Ventra Retail Location,,11201 143rd. Street,Varies,Varies,41.6297607,-87.8923661,Orland Park,"11201 143rd Street
Orland Park 60467
(41.62974476900047, -87.89247853199964)"
CVS Store 8501,Ventra Retail Location,,8325 Lemont Rd ,Varies,Varies,41.735884,-88.011617,Darien,"8325 Lemont Rd
Darien 60561
(41.735770397000465, -88.0122400039997)"
CVS Store 8502,Ventra Retail Location,,"6315 South Pulaski Rd,",Varies,Varies,41.778395,-87.7224169,Chicago,"6315 Pulaski Rd
Chicago 60629
(41.777910516000475, -87.72275095099968)"
CVS Store 8504,Ventra Retail Location,,8444 S Pulaski Rd,Varies,Varies,41.739632,-87.721983,Chicago,"8444 Pulaski Rd
Chicago 60652
(41.73963054300049, -87.72159060299964)"
CVS Store 8505,Ventra Retail Location,,6748 W 111th St,Varies,Varies,41.69072,-87.78529,Worth,"6748 111th St
Worth 60482
(41.69024142900048, -87.78732426999966)"
CVS Store 8506,Ventra Retail Location,,8025 S Ashland Ave  ,Varies,Varies,41.747744,-87.66298,Chicago,"8025 Ashland Ave
Chicago 60620
(41.74774030600048, -87.66337038399968)"
CVS Store 8507,Ventra Retail Location,,9142 S South Chicago Ave   ,Varies,Varies,41.728698,-87.5544759,Chicago,"9142 South Chicago Ave
Chicago 60617
(41.72875626300049, -87.55401397999964)"
CVS Store 8508,Ventra Retail Location,,3156 West 103rd Street,Varies,Varies,41.706249,-87.7006052,Chicago,"3156 103rd Street
Chicago 60655
(41.706222322000485, -87.70054259699964)"
CVS Store 8511,Ventra Retail Location,,7858 S Halsted,Varies,Varies,41.7509469,-87.644662,Chicago,"7858 Halsted
Chicago 60620
(41.742793047000475, -87.65344826099965)"
CVS Store 8512,Ventra Retail Location,,1 Main Street ,Varies,Varies,41.483984,-87.67495,Park Forest,"1 Main Street
Park Forest 60466
(41.484330860000455, -87.67547049999968)"
CVS Store 8519,Ventra Retail Location,,11055 S. Western Avenue,Varies,Varies,41.6919216,-87.6809641,Chicago,"11055 Western Avenue
Chicago 60643
(41.69310865300048, -87.68116700299964)"
CVS Store 8693,Ventra Retail Location,,1400 Lake Street,Varies,Varies,41.947097,-88.022567,Addison,"1400 Lake Street
Addison 60101
(41.94659082800047, -88.02275112399968)"
CVS Store 8694,Ventra Retail Location,773-804-1692,2722 N. Central Avenue  ,Varies,Varies,41.9301608,-87.7663208,Chicago ,"2722 Central Avenue
Chicago 60639
(41.9301036760005, -87.76622823699967)"
CVS Store 8695,Ventra Retail Location,,3101 N. Clark  ,Varies,Varies,41.938123,-87.648798,Chicago ,"3101 Clark
Chicago 60657
(41.93995201700045, -87.65243587399965)"
CVS Store 8698,Ventra Retail Location,,1165 N. Clark   ,Varies,Varies,41.9035829,-87.6312977,Chicago,"1165 Clark
Chicago 60610
(41.90544398300045, -87.63214904399968)"
CVS Store 8699,Ventra Retail Location,,137 S State St,Varies,Varies,41.879719,-87.62727,Chicago,"137 State St
Chicago 60603
(41.8797100540005, -87.62772107099966)"
CVS Store 8731,Ventra Retail Location,,400 W Madison St,Varies,Varies,41.883062,-87.638707,Chicago,"400 Madison St
Chicago 60606
(41.88187058400047, -87.63953081299968)"
CVS Store 8732,Ventra Retail Location,,2053 N Milwaukee Ave   ,Varies,Varies,41.9186339,-87.6902808,Chicago,"2053 Milwaukee Ave
Chicago 60647
(41.9184580430005, -87.69001257099967)"
CVS Store 8733,Ventra Retail Location,,3552 W Grand Ave   ,Varies,Varies,41.9020911,-87.7159092,Chicago,"3552 Grand Ave
Chicago 60651
(41.90180785400048, -87.71536500299965)"
CVS Store 8734,Ventra Retail Location,,1801 W. Golf Road,Varies,Varies,42.0467439,-88.12566,Schaumburg,"1801 Golf Road
Schaumburg 60194
(42.047310678000485, -88.12503001199968)"
CVS Store 8735,Ventra Retail Location,,3940 West Fullerton  ,Varies,Varies,41.9245714,-87.7258617,Chicago,"3940 Fullerton
Chicago 60647
(41.92057329200048, -87.69937931399966)"
CVS Store 8737,Ventra Retail Location,,2414 N. Lincoln Ave.  ,Varies,Varies,41.925679,-87.64949,Chicago,"2414 Lincoln Ave
Chicago 60614
(41.92595400300047, -87.64951075699969)"
CVS Store 8738,Ventra Retail Location,,741 W 31st  ,Varies,Varies,41.8380313,-87.6452111,Chicago,"741 31st
Chicago 60616
(41.8460738280005, -87.62909884999965)"
CVS Store 8739,Ventra Retail Location,773-637-1649,1819 N. Harlem Avenue ,Varies,Varies,41.913171,-87.8057716,Chicago ,"1819 Harlem Avenue
Chicago 60707
(41.912935261000484, -87.80586599099968)"
CVS Store 8740,Ventra Retail Location,,2427 W Chicago Ave,Varies,Varies,41.8956135,-87.6885825,Chicago,"2427 Chicago Ave
Chicago 60622
(41.8957392690005, -87.68797734699967)"
